STT,Tháng,Ngày phân bổ,Mã kiểu xe,Loại xe,Phiên bản,Tên màu ngoại thất,Tên màu T.A,Tên màu nội thất,Số khung,Số máy,Năm SX,Mã XHĐ,Vị trí xe vật lý/Kho,Tên SR phụ trách,Tên SR xếp xe,Ghi chú,Hợp đồng tạm xếp,Ngày xếp xe,Ngày xếp xe tạm,Trung tâm tạm xếp xe,Ngày hóa đơn đầu vào,Ngày hóa đơn bán,Ngày nhập xe về kho,Hợp đồng,Ngày giao xe,Ngày vận tải,Mã đơn vị vận tải,Tên đơn vị vận tải
1,9,14/09/2026,VF302,VF3,Eco,Trắng,White,Màu Đen,RLNVBL9KXTT745523,,2026,N31915,,Ô tô Vinfast Cam Giá,,TC2,,,,,,,,,,,,
2,9,09/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K9TT744671,TZ160X30G26072100151,2026,N31913,,Ô tô Vinfast Minh Đạo - Phạm Văn Đồng,,TC2,,,,,09/09/2026,,,,,,,
3,9,12/09/2026,VF605,VF6,Plus,Màu đỏ Ruby,Solar Ruby,Màu Be,RLLVAG8C0TH833206,,2026,N31921,Kho xe ô tô Vinfast Bắc Ninh,Ô tô Vinfast Bắc Ninh,Ô tô Vinfast Bắc Ninh,TC2,,14/09/2026,,,12/09/2026,14/09/2026,14/09/2026,02.0573/09/2026/HĐMB-MDP,,,,
4,9,07/09/2026,VF713,VF7,ECO,Màu đỏ Ruby,Solar Ruby,Màu Đen,RLLV3F5D4TH834151,VFCAJB268290043,2026,N31921,Kho xe ô tô Lĩnh Nam,Ô tô Vinfast Minh Đạo - Nguyễn Trãi,Ô tô Vinfast Minh Đạo - Nguyễn Trãi,TC2 - có HUD,,15/09/2026,,,07/09/2026,14/09/2026,15/09/2026,02.0442/09/2026/HĐMB-MDP,,,,
5,9,12/09/2026,VF8THM,VF8,Thế hệ mới,ĐEN,Black,Màu Đen,RLLV3FUV3TH838329,VFLANB269060098,2026,N31922,,Ô tô Vinfast Bắc Ninh,,,,,,,,,,,,,,
6,9,09/09/2026,PE1U01,VF9,Eco,ĐEN,Black,Màu Đen,RLLV2CVA6TH830142,VFBALB267080148; VFBALA266220129,2026,N31923,,Ô tô Vinfast Minh Đạo - Phạm Văn Đồng,,,,,,,10/09/2026,,,,,,,
7,9,12/09/2026,VF8THM,VF8,Thế hệ mới,ĐEN,Black,Màu nâu,RLLV3FUV4TH837657,VFLANB268290017,2026,N31923,Kho xe ô tô QL13 - HCM,Ô tô Vinfast Minh Đạo - Hà Huy Giáp,,,,,,,12/09/2026,,15/09/2026,,,,,
8,9,07/09/2026,VF713,VF7,ECO,Màu đỏ Ruby,Solar Ruby,Màu Đen,RLLV3F5D5TH826060,VFCAJB268190316,2026,N31921,Kho xe ô tô Lĩnh Nam,Ô tô Vinfast Times City,Ô tô Vinfast Minh Đạo - Nguyễn Trãi,TC2 - có HUD,,14/09/2026,,,07/09/2026,14/09/2026,14/09/2026,02.0590/09/2026/HĐMB-MDP,,,,
9,9,14/09/2026,VF302,VF3,Eco,Trắng,White,Màu Đen,RLNVBL9K8TT745469,TZ160X30G26072400265,2026,N31915,,Ô tô Vinfast Minh Đạo - Tân Thịnh,,TC2,,,,,,,,,,,,
10,9,09/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K3TT744522,TZ160X30G26071400387,2026,N31919,Kho xe ô tô OCP 2,Ô tô Vinfast Minh Đạo - Ocean Park2,Ô tô Vinfast Minh Đạo - Ocean Park2,TC2,,12/09/2026,,,09/09/2026,12/09/2026,15/09/2026,02.0056/09/2026/HĐMB-MDP,15/09/2026,,,
11,9,12/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K8TT745116,,2026,N31912,Kho xe ô tô Vinfast Bắc Ninh,Ô tô Vinfast Bắc Ninh,Ô tô Vinfast Bắc Ninh,TC2,,15/09/2026,,,12/09/2026,15/09/2026,14/09/2026,02.1255/08/2026/HĐMB-MDP,,,,
12,9,07/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K0TT744607,TZ160X30G26072000395,2026,N31912,Kho xe ô tô Vinfast Bắc Ninh,Ô tô Vinfast Bắc Ninh,Ô tô Vinfast Bắc Ninh,TC2,,10/09/2026,,,07/09/2026,10/09/2026,09/09/2026,02.0031/09/2026/HĐMB-MDP,11/09/2026,,,
13,9,12/09/2026,VF8THM,VF8,Thế hệ mới,ĐEN,Black,Màu nâu,RLLV3FUV5TH837747,VFLANB269050164,2026,N31917,Kho xe ô tô Vinfast Mê Linh,Ô tô Vinfast Times City,,,,,,,,,15/09/2026,,,,,
14,9,09/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K3TT744732,TZ160X30G26071500137,2026,N31914,Kho xe ô tô Vinfast Mê Linh,Ô tô Vinfast Mê Linh,Ô tô Vinfast Mê Linh,TC2,,15/09/2026,,,09/09/2026,15/09/2026,12/09/2026,02.0536/09/2026/HĐMB-MDP,,,,
15,9,12/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K6TT744756,TZ160X30G26072200229,2026,N31919,Kho xe VF Quý Hạnh - Sóc Sơn,Ô tô Vinfast Sóc Sơn,Ô tô Vinfast Sóc Sơn,TC2,,16/09/2026,,,12/09/2026,,15/09/2026,02.0397/09/2026/HĐMB-MDP,,,,
16,9,07/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K8TT744337,TZ160X30G26072000005,2026,N31901,Kho xe Xưởng cơ khí - Thái Nguyên,Ô tô Vinfast Cam Giá,Ô tô Vinfast Cam Giá,TC2,,14/09/2026,,,07/09/2026,14/09/2026,08/09/2026,02.0285/09/2026/HĐMB-MDP,16/09/2026,,,
17,9,14/09/2026,VF302,VF3,Eco,Trắng,White,Màu Đen,RLNVBL9K9TT746226,TZ160X30G26072500218,2026,N31918,,Ô tô Vinfast Bắc Ninh,Ô tô Vinfast Bắc Ninh,TC2,,16/09/2026,,,,,,02.0561/08/2026/HĐMB-MDP,,,,
18,9,09/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K7TT744698,TZ160X30G26072100120,2026,N31916,Kho xe VF Quý Hạnh - Sóc Sơn,Ô tô Vinfast Sóc Sơn,Ô tô Vinfast Sóc Sơn,TC2,,12/09/2026,,,09/09/2026,,11/09/2026,02.0011/09/2026/HĐMB-MDP,,,,
19,9,12/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K5TT744814,TZ160X30G26071700023,2026,N31917,Kho xe ô tô Vinfast Times city,Ô tô Vinfast Times City,,TC2,,,,,12/09/2026,,16/09/2026,,,,,
20,9,07/09/2026,VF305,VF3,Plus,Trắng,White,Màu Đen,RLNVBL9K5TT744389,TZ160X30G26072100023,2026,N31916,Kho xe VF Quý Hạnh - Sóc Sơn,Ô tô Vinfast Sóc Sơn,Ô tô Vinfast Sóc Sơn,TC2,,10/09/2026,,,07/09/2026,11/09/2026,11/09/2026,02.0016/09/2026/HĐMB-MDP,11/09/2026,,,
21,9,12/09/2026,PE1U01,VF9,Eco,Trắng,White,Màu Đen,RLLV2CVA0TH833618,VFBALB268040057; VFBALA268220107,2026,N31922,Kho xe Nhà máy SXLR - Thái Nguyên,Ô tô Vinfast Cam Giá,,,,,,,,,15/09/2026,,,,,
22,9,09/09/2026,VF305,VF3,Plus,Xám,Zenith Grey,Màu Đen,RLNVBL9K4TT744089,TZ160X30G26071600126,2026,N31901,Kho xe Xưởng cơ khí - Thái Nguyên,Ô tô Vinfast Cam Giá,,TC2,,,,,09/09/2026,,14/09/2026,,,,,
23,9,12/09/2026,VF306,VF3,Plus,Hồng Phấn,Brahminy White Roof- Rose Pink,Màu Đen,RLNVBL9K5TT744828,TZ160X30G26071600073,2026,N31912,,Ô tô Vinfast Bắc Ninh,,TC2,,,,,12/09/2026,,,,,,,
